1,"('а-76', 'ао укртатнафта')"
2,"('а-76', 'шебелинка')"
3,"('а-80', 'дрогобыч')"
4,"('а-80', 'линик')"
5,"('а-80', 'прикарпатье')"
6,"('а-92', 'ао укртатнафта')"
7,"('а-92', 'линик')"
8,"('а-92', 'мажейкю')"
9,"('а-92', 'мозырь')"
10,"('а-95', 'ао укртатнафта')"
11,"('а-95', 'линик')"
12,"('а-95', 'мажейка')"
13,"('а-95', 'мажейкю')"
14,"('а-95', 'орлен-летува')"
15,"('а-95', 'румыния')"
16,"('а-98', 'мажейкю')"
